item	target-relation	LC_vector	AC_vector
project@N@SBJ present@V@ROOT problem@N@OBJ	SENTENCE	0.165 -0.034 0.555 0.273 -0.191 0.209 -0.600 -0.009 -0.187 -0.339	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
paper@N@SBJ address@V@ROOT question@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
study@N@SBJ pose@V@ROOT problem@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
parent@N@SBJ set@V@ROOT example@N@OBJ	SENTENCE	0.443 0.231 0.167 -0.425 -0.328 -0.154 -0.445 0.081 -0.431 0.145	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ provide@V@ROOT system@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
patient@N@SBJ need@V@ROOT treatment@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
programme@N@SBJ offer@V@ROOT support@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.263 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
patient@N@SBJ need@V@ROOT treatment@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
system@N@SBJ use@V@ROOT method@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ play@V@ROOT game@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
worker@N@SBJ join@V@ROOT party@N@OBJ	SENTENCE	-0.617 -0.181 -0.377 -0.249 -0.104 -0.200 -0.090 0.050 0.107 -0.557	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ remember@V@ROOT name@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
physician@N@SBJ pass@V@ROOT time@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ share@V@ROOT interest@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
authority@N@SBJ exercise@V@ROOT influence@N@OBJ	SENTENCE	0.614 0.380 0.461 -0.274 -0.233 -0.244 -0.176 -0.116 -0.121 -0.133	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ share@V@ROOT interest@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
member@N@SBJ express@V@ROOT view@N@OBJ	SENTENCE	-0.173 0.174 0.209 -0.443 0.093 -0.153 0.268 0.110 -0.762 0.055	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
physician@N@SBJ pass@V@ROOT time@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
road@N@SBJ cross@V@ROOT line@N@OBJ	SENTENCE	-0.009 -0.162 0.312 -0.103 -0.266 0.218 -0.684 -0.273 -0.000 -0.452	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
plan@N@SBJ increase@V@ROOT number@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
design@N@SBJ reduce@V@ROOT amount@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
product@N@SBJ satisfy@V@ROOT demand@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
commodity@N@SBJ meet@V@ROOT requirement@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
product@N@SBJ satisfy@V@ROOT demand@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
study@N@SBJ emphasise@V@ROOT need@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
programme@N@SBJ face@V@ROOT difficulty@N@OBJ	SENTENCE	-0.069 -0.293 0.465 -0.167 0.062 0.210 -0.176 -0.032 -0.394 -0.655	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
parent@N@SBJ set@V@ROOT example@N@OBJ	SENTENCE	0.443 0.231 0.167 -0.425 -0.328 -0.154 -0.445 0.081 -0.431 0.145	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
programme@N@SBJ offer@V@ROOT support@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.263 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
road@N@SBJ cross@V@ROOT line@N@OBJ	SENTENCE	-0.009 -0.162 0.312 -0.103 -0.266 0.218 -0.684 -0.273 -0.000 -0.452	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
programme@N@SBJ offer@V@ROOT support@N@OBJ	SENTENCE	0.655 0.337 0.443 -0.263 -0.230 -0.253 -0.176 -0.107 -0.109 -0.146	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
service@N@SBJ provide@V@ROOT help@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
project@N@SBJ present@V@ROOT problem@N@OBJ	SENTENCE	0.165 -0.034 0.555 0.273 -0.191 0.209 -0.600 -0.009 -0.187 -0.339	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
programme@N@SBJ face@V@ROOT difficulty@N@OBJ	SENTENCE	-0.069 -0.293 0.465 -0.167 0.062 0.210 -0.176 -0.032 -0.394 -0.655	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
pupil@N@SBJ achieve@V@ROOT end@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
gentleman@N@SBJ close@V@ROOT eye@N@OBJ	SENTENCE	0.150 -0.228 0.261 -0.590 0.023 -0.044 0.223 -0.527 -0.422 -0.032	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
pupil@N@SBJ achieve@V@ROOT end@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
student@N@SBJ reach@V@ROOT level@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
pupil@N@SBJ use@V@ROOT knowledge@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
authority@N@SBJ exercise@V@ROOT influence@N@OBJ	SENTENCE	0.614 0.380 0.461 -0.274 -0.233 -0.244 -0.176 -0.116 -0.121 -0.133	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
pupil@N@SBJ use@V@ROOT knowledge@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ provide@V@ROOT system@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
pupil@N@SBJ use@V@ROOT knowledge@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
student@N@SBJ acquire@V@ROOT skill@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
question@N@SBJ raise@V@ROOT head@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
paper@N@SBJ address@V@ROOT question@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
report@N@SBJ stress@V@ROOT importance@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
company@N@SBJ cut@V@ROOT cost@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
report@N@SBJ stress@V@ROOT importance@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
firm@N@SBJ cause@V@ROOT injury@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
report@N@SBJ stress@V@ROOT importance@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
study@N@SBJ emphasise@V@ROOT need@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
researcher@N@SBJ develop@V@ROOT technique@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
government@N@SBJ use@V@ROOT power@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
researcher@N@SBJ develop@V@ROOT technique@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
system@N@SBJ use@V@ROOT method@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
road@N@SBJ cross@V@ROOT line@N@OBJ	SENTENCE	-0.009 -0.162 0.312 -0.103 -0.266 0.218 -0.684 -0.273 -0.000 -0.452	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
route@N@SBJ follow@V@ROOT road@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
route@N@SBJ follow@V@ROOT road@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
parent@N@SBJ set@V@ROOT example@N@OBJ	SENTENCE	0.443 0.231 0.167 -0.425 -0.328 -0.154 -0.445 0.081 -0.431 0.145	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
school@N@SBJ encourage@V@ROOT child@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
employee@N@SBJ leave@V@ROOT company@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
service@N@SBJ provide@V@ROOT help@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
product@N@SBJ satisfy@V@ROOT demand@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
service@N@SBJ provide@V@ROOT help@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
researcher@N@SBJ develop@V@ROOT technique@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
student@N@SBJ acquire@V@ROOT skill@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
doctor@N@SBJ use@V@ROOT test@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
student@N@SBJ acquire@V@ROOT skill@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
family@N@SBJ buy@V@ROOT home@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
study@N@SBJ pose@V@ROOT problem@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
programme@N@SBJ face@V@ROOT difficulty@N@OBJ	SENTENCE	-0.069 -0.293 0.465 -0.167 0.062 0.210 -0.176 -0.032 -0.394 -0.655	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
superpower@N@SBJ fight@V@ROOT war@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
force@N@SBJ win@V@ROOT battle@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
superpower@N@SBJ fight@V@ROOT war@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
plan@N@SBJ increase@V@ROOT number@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
superpower@N@SBJ fight@V@ROOT war@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
team@N@SBJ win@V@ROOT match@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
survey@N@SBJ collect@V@ROOT information@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
page@N@SBJ provide@V@ROOT datum@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
team@N@SBJ win@V@ROOT match@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
design@N@SBJ reduce@V@ROOT amount@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
team@N@SBJ win@V@ROOT match@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ play@V@ROOT game@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
user@N@SBJ send@V@ROOT message@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
family@N@SBJ receive@V@ROOT letter@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
user@N@SBJ send@V@ROOT message@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
man@N@SBJ hear@V@ROOT word@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
wife@N@SBJ pour@V@ROOT tea@N@OBJ	SENTENCE	0.424 0.570 0.490 -0.339 -0.242 -0.149 -0.109 -0.124 -0.176 -0.033	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
study@N@SBJ emphasise@V@ROOT need@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
wife@N@SBJ pour@V@ROOT tea@N@OBJ	SENTENCE	0.424 0.570 0.490 -0.339 -0.242 -0.149 -0.109 -0.124 -0.176 -0.033	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
woman@N@SBJ drink@V@ROOT water@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
wife@N@SBJ pour@V@ROOT tea@N@OBJ	SENTENCE	0.424 0.570 0.490 -0.339 -0.242 -0.149 -0.109 -0.124 -0.176 -0.033	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
worker@N@SBJ join@V@ROOT party@N@OBJ	SENTENCE	-0.617 -0.181 -0.377 -0.249 -0.104 -0.200 -0.090 0.050 0.107 -0.557	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
woman@N@SBJ ask@V@ROOT man@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
father@N@SBJ stretch@V@ROOT arm@N@OBJ	SENTENCE	0.172 0.300 0.300 -0.366 0.406 0.120 -0.356 -0.451 -0.304 -0.232	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
woman@N@SBJ ask@V@ROOT man@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
user@N@SBJ send@V@ROOT message@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
woman@N@SBJ drink@V@ROOT water@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
doctor@N@SBJ use@V@ROOT test@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
woman@N@SBJ drink@V@ROOT water@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
system@N@SBJ use@V@ROOT method@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
worker@N@SBJ join@V@ROOT party@N@OBJ	SENTENCE	-0.617 -0.181 -0.377 -0.249 -0.104 -0.200 -0.090 0.050 0.107 -0.557	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
employee@N@SBJ leave@V@ROOT company@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
writer@N@SBJ read@V@ROOT word@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
family@N@SBJ receive@V@ROOT letter@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
writer@N@SBJ read@V@ROOT word@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
people@N@SBJ remember@V@ROOT name@N@OBJ	SENTENCE	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173	0.715 0.255 0.410 -0.234 -0.219 -0.272 -0.183 -0.094 -0.086 -0.173
